Asset_Number,Lag,ACF_Value
100080,0,1.0
100080,1,-0.016
100080,2,-0.1204
100080,3,-0.075
100080,4,-0.0948
100080,5,-0.0521
100080,6,-0.0405
100080,7,-0.0154
100080,8,-0.0167
100080,9,-0.0525
100080,10,0.0598
100080,11,-0.012
100080,12,0.0047
100080,13,-0.0114
100080,14,-0.0225
100080,15,0.0071
100080,16,-0.0043
100080,17,-0.0326
100080,18,-0.0206
100080,19,-0.0201
100080,20,0.0031
100081,0,1.0
100081,1,-0.0151
100081,2,-0.1257
100081,3,-0.1043
100081,4,-0.0702
100081,5,-0.0554
100081,6,-0.0516
100081,7,-0.0203
100081,8,-0.0061
100081,9,0.0075
100081,10,-0.0056
100081,11,-0.0073
100081,12,-0.009
100081,13,-0.0042
100081,14,-0.0133
100081,15,-0.012
100081,16,-0.0359
100081,17,0.0192
100081,18,0.0055
100081,19,-0.0095
100081,20,-0.0231
300006,0,1.0
300006,1,-0.0235
300006,2,-0.1576
300006,3,-0.1326
300006,4,-0.0935
300006,5,-0.0755
300006,6,0.0193
300006,7,0.0049
300006,8,0.0052
300006,9,-0.0322
300006,10,-0.0121
300006,11,0.0045
300006,12,-0.005
300006,13,-0.0619
300006,14,0.0043
300006,15,0.0375
300006,16,0.0238
300006,17,0.023
300006,18,0.0253
300006,19,-0.0197
300006,20,-0.0288
300007,0,1.0
300007,1,-0.0117
300007,2,-0.1021
300007,3,-0.0889
300007,4,-0.0706
300007,5,-0.052
300007,6,-0.059
300007,7,-0.0496
300007,8,0.0099
300007,9,-0.0292
300007,10,-0.0362
300007,11,-0.0188
300007,12,0.1053
300007,13,-0.0269
300007,14,-0.0002
300007,15,0.04
300007,16,-0.0434
300007,17,-0.0091
300007,18,-0.0274
300007,19,0.0106
300007,20,-0.0593
300008,0,1.0
300008,1,-0.0177
300008,2,-0.1304
300008,3,-0.1121
300008,4,-0.0938
300008,5,-0.0247
300008,6,-0.0204
300008,7,-0.0223
300008,8,0.0094
300008,9,-0.0536
300008,10,-0.041
300008,11,0.0032
300008,12,0.0234
300008,13,-0.0098
300008,14,0.0475
300008,15,-0.0159
300008,16,0.0365
300008,17,-0.0521
300008,18,-0.048
300008,19,0.0078
300008,20,0.0178
300009,0,1.0
300009,1,-0.0179
300009,2,-0.1403
300009,3,-0.0869
300009,4,-0.0432
300009,5,-0.0472
300009,6,-0.0334
300009,7,-0.04
300009,8,-0.0443
300009,9,0.0048
300009,10,0.0303
300009,11,-0.0253
300009,12,-0.0238
300009,13,-0.0725
300009,14,-0.0173
300009,15,0.0401
300009,16,0.0495
300009,17,-0.0365
300009,18,-0.0038
300009,19,0.004
300009,20,0.042
300010,0,1.0
300010,1,-0.0172
300010,2,-0.1298
300010,3,-0.0726
300010,4,-0.102
300010,5,-0.0898
300010,6,0.0268
300010,7,-0.0673
300010,8,0.0158
300010,9,0.0167
300010,10,0.0036
300010,11,-0.0246
300010,12,0.0115
300010,13,-0.0273
300010,14,-0.0044
300010,15,-0.0555
300010,16,-0.0306
300010,17,0.0179
300010,18,0.0032
300010,19,-0.0046
300010,20,0.0009
300011,0,1.0
300011,1,-0.0125
300011,2,-0.1177
300011,3,-0.0762
300011,4,-0.0418
300011,5,-0.0494
300011,6,-0.0331
300011,7,-0.0156
300011,8,-0.0273
300011,9,-0.0469
300011,10,-0.012
300011,11,0.0086
300011,12,-0.0194
300011,13,0.0004
300011,14,0.0392
